[2024-11-19 23:02:35,905: INFO: main: Starting the project]
[2024-11-20 02:25:50,447: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:27:56,489: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:27:56,491: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:27:56,492: INFO: common: created directory at: artifacts]
[2024-11-20 02:27:56,493: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:28:03,060: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:28:03,062: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:28:03,063: INFO: common: created directory at: artifacts]
[2024-11-20 02:28:03,064: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:28:41,256: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:28:41,258: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:28:41,259: INFO: common: created directory at: artifacts]
[2024-11-20 02:28:41,259: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:29:11,977: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:29:11,978: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:29:11,979: INFO: common: created directory at: artifacts]
[2024-11-20 02:29:11,980: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:31:21,014: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:31:21,015: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:31:21,017: INFO: common: created directory at: artifacts]
[2024-11-20 02:31:21,017: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:31:21,676: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:31:21,677: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:31:21,678: INFO: common: created directory at: artifacts]
[2024-11-20 02:31:21,679: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:31:21,954: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:31:21,956: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:31:21,956: INFO: common: created directory at: artifacts]
[2024-11-20 02:31:21,957: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:32:32,745: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:32:32,746: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:32:32,747: INFO: common: created directory at: artifacts]
[2024-11-20 02:32:32,748: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:32:33,654: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:32:33,656: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:32:33,657: INFO: common: created directory at: artifacts]
[2024-11-20 02:32:33,658: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:36:12,035: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:36:12,037: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:36:12,038: INFO: common: created directory at: artifacts]
[2024-11-20 02:36:12,039: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:38:15,264: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:38:15,266: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:38:15,267: INFO: common: created directory at: artifacts]
[2024-11-20 02:38:15,268: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:38:59,136: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:38:59,138: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:38:59,139: INFO: common: created directory at: artifacts]
[2024-11-20 02:38:59,139: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:41:22,618: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:41:22,620: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:41:22,621: INFO: common: created directory at: artifacts]
[2024-11-20 02:41:22,622: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:45:04,298: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:45:04,299: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:45:04,300: INFO: common: created directory at: artifacts]
[2024-11-20 02:45:04,301: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:47:03,224: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:47:03,226: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:47:03,227: INFO: common: created directory at: artifacts]
[2024-11-20 02:47:03,227: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:48:03,329: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:48:03,330: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:48:03,331: INFO: common: created directory at: artifacts]
[2024-11-20 02:48:03,332: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:48:03,333: INFO: 1058279945: Downloading data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-20 02:49:39,000: INFO: 1058279945: Download data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-20 10:28:59,173: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<<]
[2024-11-20 10:28:59,173: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 10:28:59,173: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 10:28:59,173: INFO: common: created directory at: artifacts]
[2024-11-20 10:28:59,173: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 10:28:59,181: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-20 10:30:07,397: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-20 10:30:13,586: INFO: main: >>>>>> stage Data Ingestion stage completed <<<]] 

x==============]
